ICS_ID,ORG_Entity,Matched_Category
030911a4-6da1-418c-9abd-875109a804e4,Polskie Radio Białystok,Media / Publishing
030911a4-6da1-418c-9abd-875109a804e4,MEN,Government / Public Administration
030911a4-6da1-418c-9abd-875109a804e4,gość.pl,Media / Publishing
030911a4-6da1-418c-9abd-875109a804e4,Svichado,Media / Publishing
030911a4-6da1-418c-9abd-875109a804e4,Polsat News,Media / Publishing
030911a4-6da1-418c-9abd-875109a804e4,niedziela.pl,Media / Publishing
030911a4-6da1-418c-9abd-875109a804e4,interia.pl,Media / Publishing
030911a4-6da1-418c-9abd-875109a804e4,TVN,Media / Publishing
030911a4-6da1-418c-9abd-875109a804e4,natemat.pl,Media / Publishing
031a90be-0625-4492-816c-919e468ba232,GWSH,Other / Unclear
031c7df7-f84a-4322-bccf-eb23191e5d13,Practical Museum,Cultural Institution / Arts
031c7df7-f84a-4322-bccf-eb23191e5d13,Registan Ensemble,International Organization / EU
031c7df7-f84a-4322-bccf-eb23191e5d13,State Museum of History of Uzbekistan,Cultural Institution / Arts
031c7df7-f84a-4322-bccf-eb23191e5d13,Shahi Zinda Necropolis,Cultural Institution / Arts
031c7df7-f84a-4322-bccf-eb23191e5d13,„Preservation of Tangible and Intangible Cultural Heritage,Cultural Institution / Arts
031c7df7-f84a-4322-bccf-eb23191e5d13,Khoja Akhmet Yassawi International Kazakh,International Organization / EU
031c7df7-f84a-4322-bccf-eb23191e5d13,ITiT,Other / Unclear
031c7df7-f84a-4322-bccf-eb23191e5d13,Scientific-Practical Museum-Laboratory,Cultural Institution / Arts
031c7df7-f84a-4322-bccf-eb23191e5d13,Cultural Heritage Week,Cultural Institution / Arts
031c7df7-f84a-4322-bccf-eb23191e5d13,Laboratory,Other / Unclear
031c7df7-f84a-4322-bccf-eb23191e5d13,Turkestan,Other / Unclear
031c7df7-f84a-4322-bccf-eb23191e5d13,“Azret Sultan” State Historical and Cultural Reserve-Museum,Cultural Institution / Arts
031c7df7-f84a-4322-bccf-eb23191e5d13,Bishkek,Other / Unclear
031c7df7-f84a-4322-bccf-eb23191e5d13,Tashkent,International Organization / EU
031c7df7-f84a-4322-bccf-eb23191e5d13,Taszkient,Other / Unclear
031c7df7-f84a-4322-bccf-eb23191e5d13,Successor of Ulugbek Madrasa Oliya”,Education (non-university)
031c7df7-f84a-4322-bccf-eb23191e5d13,Scientific,Other / Unclear
031c7df7-f84a-4322-bccf-eb23191e5d13,Samarkand,Other / Unclear
031c7df7-f84a-4322-bccf-eb23191e5d13,ICT,Other / Unclear
031c7df7-f84a-4322-bccf-eb23191e5d13,„Nowy Uzbekistan,Other / Unclear
031c7df7-f84a-4322-bccf-eb23191e5d13,Archeological Museum,Cultural Institution / Arts
0333ac8f-0dec-4502-b723-bb2ebd27e77f,World J,Other / Unclear
0333ac8f-0dec-4502-b723-bb2ebd27e77f,Europejskie Towarzystwo Żywienia Pozajelitowego i Dojelitowego,NGO / Association / Foundation
0333ac8f-0dec-4502-b723-bb2ebd27e77f,Ann Transpl,Media / Publishing
0333ac8f-0dec-4502-b723-bb2ebd27e77f,Europejskiego,International Organization / EU
0333ac8f-0dec-4502-b723-bb2ebd27e77f,Ann Surg,Media / Publishing
0333ac8f-0dec-4502-b723-bb2ebd27e77f,Sci Rep,Media / Publishing
0333ac8f-0dec-4502-b723-bb2ebd27e77f,Ann Surg Onc,Media / Publishing
0333ac8f-0dec-4502-b723-bb2ebd27e77f,European Association for the Study of the Liver,NGO / Association / Foundation
033c8a5e-2fc4-43c2-9035-1804f21e9cc1,resortu obrony narodowej,Government / Public Administration
033c8a5e-2fc4-43c2-9035-1804f21e9cc1,Zarządu Planowania i Programowania Rozwoju Sił Zbrojnych,Military / Defense / Security
033c8a5e-2fc4-43c2-9035-1804f21e9cc1,Sił Zbrojnych RP,Government / Public Administration
033c8a5e-2fc4-43c2-9035-1804f21e9cc1,Centrum Doktryn i Szkolenia Sił Zbrojnych,Military / Defense / Security
033c8a5e-2fc4-43c2-9035-1804f21e9cc1,Sztabu Generalnego Wojska Polskiego,Military / Defense / Security
033c8a5e-2fc4-43c2-9035-1804f21e9cc1,CDiS SZ,Military / Defense / Security
033c8a5e-2fc4-43c2-9035-1804f21e9cc1,P5 Sztabu Generalnego WP,Government / Public Administration
033c8a5e-2fc4-43c2-9035-1804f21e9cc1,Starego Urządzenia Polskiego,Government / Public Administration
033c8a5e-2fc4-43c2-9035-1804f21e9cc1,UMK,Other / Unclear
033c8a5e-2fc4-43c2-9035-1804f21e9cc1,ł Zbrojnych RP,Government / Public Administration
0340878a-5468-4fd8-88da-6822a72c7f12,Uniwersytecie Ekonomicznym w Katowicach,Other / Unclear
0340878a-5468-4fd8-88da-6822a72c7f12,Rady ds. Przedsiębiorczości,Government / Public Administration
0340878a-5468-4fd8-88da-6822a72c7f12,Rada Ministrów,Government / Public Administration
0340878a-5468-4fd8-88da-6822a72c7f12,UEKat Polska,International Organization / EU
0340878a-5468-4fd8-88da-6822a72c7f12,GEM,Company / Business
0340878a-5468-4fd8-88da-6822a72c7f12,SME Performance Review,Other / Unclear
0340878a-5468-4fd8-88da-6822a72c7f12,Strategia Odpowiedzialnego Rozwoju,Other / Unclear
0340878a-5468-4fd8-88da-6822a72c7f12,Światową Organizację Pracy,International Organization / EU
0340878a-5468-4fd8-88da-6822a72c7f12,UEKat,International Organization / EU
0340878a-5468-4fd8-88da-6822a72c7f12,Europejskiej Tablicy Wyników Innowacji European Innovation Scoreboard,NGO / Association / Foundation
0340878a-5468-4fd8-88da-6822a72c7f12,Polski,Other / Unclear
0340878a-5468-4fd8-88da-6822a72c7f12,Globalnego Monitora Przedsiębiorczości,International Organization / EU
0340878a-5468-4fd8-88da-6822a72c7f12,PARP,Government / Public Administration
0341bcd6-d7fa-4cea-8cab-bed15ddf428e,EFMK,Other / Unclear
0341bcd6-d7fa-4cea-8cab-bed15ddf428e,Pipe Experten AS,Company / Business
0341bcd6-d7fa-4cea-8cab-bed15ddf428e,Polski Alarm Smogowy,NGO / Association / Foundation
0341bcd6-d7fa-4cea-8cab-bed15ddf428e,Federacja,NGO / Association / Foundation
0341bcd6-d7fa-4cea-8cab-bed15ddf428e,Europejska Federacja Mistrzów Kominiarskich,NGO / Association / Foundation
0341bcd6-d7fa-4cea-8cab-bed15ddf428e,Centralnej Ewidencji Emisyjności Budynków,Government / Public Administration
0341bcd6-d7fa-4cea-8cab-bed15ddf428e,Jawar,Company / Business
0341bcd6-d7fa-4cea-8cab-bed15ddf428e,Jawar Nord Plus,Company / Business
03433790-6ee4-49e2-8574-2fdf191c4866,PIW,Government / Public Administration
03433790-6ee4-49e2-8574-2fdf191c4866,NPRH,Other / Unclear
03433790-6ee4-49e2-8574-2fdf191c4866,Komisji Kultury Sejmu RP,Government / Public Administration
03433790-6ee4-49e2-8574-2fdf191c4866,Sejm,Government / Public Administration
03433790-6ee4-49e2-8574-2fdf191c4866,BPPO,Other / Unclear
03433790-6ee4-49e2-8574-2fdf191c4866,PEN CLUBIE,NGO / Association / Foundation
03433790-6ee4-49e2-8574-2fdf191c4866,BPS,Company / Business
